Drug,Recall_before_thresh,Support_2022,Recall_thresh,Precision_thresh,Recall_change
phentermine,0.556420233463035,257.0,0.5680933852140078,0.553030303030303,0.0117
atorvastatin,0.5546842325386867,9564.0,0.16258887494772062,0.4279031370390754,-0.3921
allopurinol,0.5529225908372828,1266.0,0.5600315955766193,0.3408653846153846,0.0071
ciclopirox,0.5512820512820513,78.0,0.5512820512820513,1.0,0.0
pregabalin,0.5445402298850575,696.0,0.5517241379310345,0.6124401913875598,0.0072
promethazine,0.5333333333333333,225.0,0.5777777777777777,0.23679417122040072,0.0444
clindamycin,0.5100671140939598,298.0,0.5604026845637584,0.8882978723404256,0.0503
moxifloxacin,0.5084745762711864,59.0,0.8135593220338984,0.8727272727272727,0.3051
docusate,0.4955489614243323,337.0,0.6201780415430267,0.19280442804428044,0.1246
levetiracetam,0.4954954954954955,444.0,0.4617117117117117,0.05139132614690398,-0.0338
rizatriptan,0.495049504950495,202.0,0.5445544554455446,0.6043956043956044,0.0495
methocarbamol,0.4886363636363636,440.0,0.5340909090909091,0.3555219364599092,0.0455
cephalexin,0.4881889763779528,508.0,0.5984251968503937,0.532399299474606,0.1102
diazepam,0.4876543209876543,324.0,0.4660493827160494,0.18214716525934863,-0.0216
nifedipine,0.4871060171919771,349.0,0.49283667621776506,0.2950257289879931,0.0057
apixaban,0.4798598949211909,1713.0,0.45183887915936954,0.5789080029917726,-0.028
ciprofloxacin,0.4663865546218487,238.0,0.49159663865546216,0.3038961038961039,0.0252
nortriptyline,0.4619047619047619,210.0,0.49523809523809526,0.11441144114411442,0.0333
fexofenadine,0.4574468085106383,94.0,0.6063829787234043,0.30158730158730157,0.1489
montelukast,0.4501748251748251,2288.0,0.24737762237762237,0.24944909651829,-0.2028
guaifenesin,0.4366197183098591,71.0,0.5352112676056338,0.05142083897158322,0.0986
amiodarone,0.4351145038167939,131.0,0.46564885496183206,0.12896405919661733,0.0305
amlodipine,0.4228983186549239,6245.0,0.0533226581265012,0.392226148409894,-0.3696
ketoconazole,0.4183266932270916,251.0,0.41832669322709165,0.8677685950413223,0.0
acetaminophen,0.4126984126984127,630.0,0.44761904761904764,0.4862068965517241,0.0349
oxycodone,0.4047619047619047,1134.0,0.3509700176366843,0.46386946386946387,-0.0538
morphine,0.4010989010989011,364.0,0.5659340659340659,0.34563758389261745,0.1648
pioglitazone,0.4009661835748792,414.0,0.4251207729468599,0.24478442280945759,0.0242
hydromorphone,0.3951612903225806,124.0,0.4274193548387097,0.3063583815028902,0.0323
dexamethasone,0.3839285714285714,112.0,0.4732142857142857,0.1308641975308642,0.0893
terbinafine,0.3820224719101123,89.0,0.5056179775280899,0.371900826446281,0.1236
diphenhydramine,0.375,96.0,0.4270833333333333,0.08506224066390042,0.0521
memantine,0.3665338645418327,251.0,0.4701195219123506,0.21493624772313297,0.1036
sildenafil,0.3653136531365313,271.0,0.45018450184501846,0.4357142857142857,0.0849
loperamide,0.3617021276595745,47.0,0.3617021276595745,0.288135593220339,0.0
hydroxychloroquine,0.3492723492723493,481.0,0.20582120582120583,0.3694029850746269,-0.1435
venlafaxine,0.3452797202797202,1144.0,0.2840909090909091,0.3464818763326226,-0.0612
mupirocin,0.3361344537815126,238.0,0.40756302521008403,0.9897959183673469,0.0714
lisdexamfetamine,0.3327137546468401,538.0,0.35315985130111527,0.7450980392156863,0.0204
meclizine,0.3324808184143222,391.0,0.3554987212276215,0.31026785714285715,0.023
hydrocortisone,0.3223684210526316,152.0,0.32894736842105265,0.029940119760479042,0.0066
atenolol,0.306547619047619,1008.0,0.30257936507936506,0.941358024691358,-0.004
lamotrigine,0.2997630331753554,844.0,0.23222748815165878,0.4688995215311005,-0.0675
medroxyprogesterone,0.2941176470588235,68.0,0.45588235294117646,0.04397163120567376,0.1618
ezetimibe,0.2857142857142857,714.0,0.5238095238095238,0.09104186952288218,0.2381
glipizide,0.2757527733755943,1262.0,0.22741679873217116,0.1823379923761118,-0.0483
nitrofurantoin,0.2744360902255639,266.0,0.4699248120300752,0.5165289256198347,0.1955
famotidine,0.2719522591645353,1173.0,0.2753623188405797,0.1878999418266434,0.0034
zolpidem,0.2686915887850467,856.0,0.2336448598130841,0.6309148264984227,-0.035
pramipexole,0.2640449438202247,178.0,0.29775280898876405,0.6708860759493671,0.0337
fluoxetine,0.262094304960196,1633.0,0.26393141457440294,0.4982658959537572,0.0018
ketorolac,0.2605633802816901,142.0,0.31690140845070425,0.2459016393442623,0.0563
metoprolol,0.2546995945447843,5426.0,0.1420936232952451,0.44903902154921377,-0.1126
hydroxyzine,0.2543520309477756,1034.0,0.195357833655706,0.41478439425051333,-0.059
clonazepam,0.2508214676889376,913.0,0.21686746987951808,0.47030878859857483,-0.034
valsartan,0.2505446623093681,459.0,0.2549019607843137,0.8931297709923665,0.0044
lovastatin,0.2476190476190476,420.0,0.27380952380952384,0.03819329126536034,0.0262
cyclobenzaprine,0.2474137931034482,1160.0,0.1956896551724138,0.4010600706713781,-0.0517
risperidone,0.2433333333333333,300.0,0.29,0.22715404699738903,0.0467
acyclovir,0.2378048780487804,328.0,0.21646341463414634,0.07015810276679842,-0.0213
irbesartan,0.2361111111111111,216.0,0.3333333333333333,0.07086614173228346,0.0972
torsemide,0.2261306532663316,199.0,0.3768844221105528,0.021557918942224776,0.1508
pantoprazole,0.2261108926464805,2543.0,0.2272906016515926,0.4877637130801688,0.0012
fluticasone,0.2244031830238727,1885.0,0.2222811671087533,0.6629746835443038,-0.0021
clobetasol,0.2234848484848484,264.0,0.23106060606060605,0.0070010329392861245,0.0076
hydralazine,0.2087286527514231,527.0,0.17836812144212524,0.2367758186397985,-0.0304
prednisone,0.203377902885292,1421.0,0.14496833216045038,0.5061425061425061,-0.0584
clonidine,0.2032710280373831,856.0,0.23014018691588786,0.07317979197622586,0.0269
verapamil,0.2017937219730941,223.0,0.17488789237668162,0.23493975903614459,-0.0269
tadalafil,0.1923076923076923,260.0,0.3038461538461538,0.09122401847575058,0.1115
dicyclomine,0.1875,304.0,0.21052631578947367,0.13530655391120508,0.023
olanzapine,0.1868131868131868,273.0,0.31135531135531136,0.05537459283387622,0.1245
prednisolone,0.1770186335403726,322.0,0.13975155279503104,0.7627118644067796,-0.0373
tobramycin,0.1764705882352941,51.0,0.6274509803921569,0.27350427350427353,0.451
etodolac,0.1764705882352941,17.0,0.29411764705882354,0.0045045045045045045,0.1176
donepezil,0.173076923076923,364.0,0.26373626373626374,0.036294896030245744,0.0907
aripiprazole,0.1718146718146718,518.0,0.2277992277992278,0.08076659822039699,0.056
metronidazole,0.1701492537313433,335.0,0.14925373134328357,0.4,-0.0209
lidocaine,0.1688311688311688,77.0,0.2077922077922078,0.128,0.039
pseudoephedrine,0.1612903225806451,31.0,0.16129032258064516,0.10204081632653061,0.0
warfarin,0.1590296495956873,742.0,0.15902964959568733,0.2114695340501792,0.0
ropinirole,0.1581920903954802,354.0,0.2175141242937853,0.09974093264248704,0.0593
mirtazapine,0.1496881496881497,481.0,0.1704781704781705,0.10621761658031088,0.0208
levocetirizine,0.1471571906354515,299.0,0.42474916387959866,0.07577565632458234,0.2776
losartan,0.1430229858370095,4307.0,0.10448107731599722,0.26056745801968734,-0.0385
metformin,0.1397925841738883,7039.0,0.022588435857366102,0.7162162162162162,-0.1172
naproxen,0.137007874015748,635.0,0.10551181102362205,0.07957244655581948,-0.0315
oxcarbazepine,0.1333333333333333,240.0,0.2875,0.31363636363636366,0.1542
propranolol,0.1322751322751322,756.0,0.13624338624338625,0.031624194043598404,0.004
rivaroxaban,0.1288515406162464,714.0,0.14565826330532214,0.12037037037037036,0.0168
bupropion,0.1267387944358578,1941.0,0.005667181865018032,0.03618421052631579,-0.1211
ibuprofen,0.1256704980842911,1305.0,0.14406130268199233,0.5340909090909091,0.0184
mirabegron,0.1216931216931216,189.0,0.17989417989417988,0.05222734254992319,0.0582
valacyclovir,0.1206496519721577,431.0,0.08816705336426914,0.13240418118466898,-0.0325
budesonide,0.1158798283261802,233.0,0.11587982832618025,0.1875,0.0
oxybutynin,0.1128712871287128,505.0,0.12871287128712872,0.09259259259259259,0.0158
buspirone,0.1043566362715298,987.0,0.11854103343465046,0.3314447592067989,0.0142
sitagliptin,0.1021341463414634,656.0,0.26371951219512196,0.12321937321937322,0.1616
loratadine,0.1018276762402088,766.0,0.1866840731070496,0.19888734353268428,0.0849
ofloxacin,0.0981595092024539,163.0,0.17791411042944785,0.031453362255965296,0.0798
telmisartan,0.0975609756097561,164.0,0.20121951219512196,0.012910798122065728,0.1037
ethinyl estradiol,0.0909090909090909,22.0,0.09090909090909091,0.05555555555555555,0.0
sulindac,0.0869565217391304,23.0,0.2608695652173913,0.014742014742014743,0.1739
quetiapine,0.074074074074074,729.0,0.05212620027434842,0.2992125984251969,-0.0219
atomoxetine,0.0707070707070707,99.0,0.10101010101010101,0.1282051282051282,0.0303
levofloxacin,0.0495867768595041,121.0,0.05785123966942149,0.1891891891891892,0.0083
baclofen,0.0475352112676056,568.0,0.10915492957746478,0.09451219512195122,0.0616
sertraline,0.0463388751326494,2827.0,0.004598514326140785,0.1015625,-0.0417
meloxicam,0.0438829787234042,1504.0,0.015292553191489361,0.5609756097560976,-0.0286
topiramate,0.0384615384615384,624.0,0.07051282051282051,0.07357859531772576,0.0321
furosemide,0.0367985280588776,2174.0,0.01839926402943882,0.31007751937984496,-0.0184
labetalol,0.0354609929078014,141.0,0.07801418439716312,0.061452513966480445,0.0426
enalapril,0.0284810126582278,316.0,0.06645569620253164,0.0286493860845839,0.038
nebivolol,0.0274725274725274,182.0,0.14285714285714285,0.01870503597122302,0.1154
tramadol,0.0272168568920105,1139.0,0.013169446883230905,0.16666666666666666,-0.014
paroxetine,0.0248226950354609,564.0,0.0549645390070922,0.03575547866205306,0.0301
cetirizine,0.023037542662116,1172.0,0.03498293515358362,0.0803921568627451,0.0119
indomethacin,0.0222222222222222,45.0,0.044444444444444446,0.014705882352941176,0.0222
fluorouracil,0.0172413793103448,58.0,0.05172413793103448,1.0,0.0345
escitalopram,0.0168067226890756,2142.0,0.009337068160597572,0.08658008658008658,-0.0075
rosuvastatin,0.016750418760469,2985.0,0.04455611390284757,0.07701215981470759,0.0278
alprazolam,0.0145051194539249,1172.0,0.011092150170648464,0.06310679611650485,-0.0034
betamethasone,0.0133333333333333,75.0,0.013333333333333334,0.0034482758620689655,0.0
chlorthalidone,0.0126849894291754,473.0,0.09302325581395349,0.12256267409470752,0.0803
nabumetone,0.0103092783505154,97.0,0.030927835051546393,0.045454545454545456,0.0206
duloxetine,0.0095751047277079,1671.0,0.00718132854578097,0.010291595197255575,-0.0024
citalopram,0.0093808630393996,1066.0,0.0300187617260788,0.10774410774410774,0.0206
isosorbide mononitrate,0.0046296296296296,432.0,0.004629629629629629,0.0625,0.0
pravastatin,0.0042704626334519,1405.0,0.058362989323843414,0.04895522388059702,0.0541
spironolactone,0.0031347962382445,957.0,0.003134796238244514,0.057692307692307696,0.0
simvastatin,0.0022321428571428,2240.0,0.0004464285714285714,0.009174311926605505,-0.0018
trazodone,0.001819008640291,2199.0,0.0,0.0,-0.0018
amitriptyline,0.0014367816091954,696.0,0.0014367816091954023,0.007142857142857143,0.0
clopidogrel,0.0008025682182985,1246.0,0.0,0.0,-0.0008
lisinopril,0.0005939123979213,6735.0,0.0,0.0,-0.0006
adapalene,0.0,9.0,0.0,0.0,0.0
cyclosporine,0.0,218.0,0.0,0.0,0.0
diclofenac,0.0,1011.0,0.0,0.0,0.0
cyproheptadine,0.0,31.0,0.03225806451612903,0.029411764705882353,0.0323
timolol,0.0,274.0,0.0,0.0,0.0
ivermectin,0.0,13.0,0.0,0.0,0.0
benazepril,0.0,297.0,0.05723905723905724,0.008717948717948718,0.0572
latanoprost,0.0,926.0,0.0,0.0,0.0
ipratropium,0.0,135.0,0.0,0.0,0.0
imiquimod,0.0,32.0,0.0,0.0,0.0
dexmethylphenidate,0.0,363.0,0.05234159779614325,0.1557377049180328,0.0523
triamcinolone,0.0,493.0,0.0,0.0,0.0
trimethoprim,0.0,4.0,0.75,0.75,0.75
gentamicin,0.0,7.0,0.0,0.0,0.0
desvenlafaxine,0.0,145.0,0.08275862068965517,0.021778584392014518,0.0828
erythromycin,0.0,69.0,0.0,0.0,0.0
hydrocodone,0.0,78.0,0.0,0.0,0.0
desloratadine,0.0,22.0,0.0,0.0,0.0
ampicillin,0.0,11.0,0.0,0.0,0.0
solifenacin,0.0,130.0,0.2230769230769231,0.02443133951137321,0.2231
sulfamethoxazole,0.0,4.0,0.0,0.0,0.0
bisacodyl,0.0,19.0,0.0,0.0,0.0
piroxicam,0.0,1.0,0.0,0.0,0.0
penicillin v potassium,0.0,86.0,0.0,0.0,0.0
oxymetazoline,0.0,22.0,0.0,0.0,0.0
omeprazole,0.0,4265.0,0.0,0.0,0.0
olopatadine,0.0,124.0,0.0,0.0,0.0
azelastine,0.0,434.0,0.0,0.0,0.0
olmesartan,0.0,484.0,0.01652892561983471,0.004437049362174155,0.0165
bimatoprost,0.0,156.0,0.0,0.0,0.0
brimonidine,0.0,189.0,0.0,0.0,0.0
permethrin,0.0,6.0,0.0,0.0,0.0
ranolazine,0.0,95.0,0.0,0.0,0.0
divalproex sodium,0.0,242.0,0.0,0.0,0.0
mometasone,0.0,22.0,0.0,0.0,0.0
minocycline,0.0,74.0,0.013513513513513514,0.002638522427440633,0.0135
fluocinonide,0.0,69.0,0.0,0.0,0.0
liraglutide,0.0,329.0,0.0,0.0,0.0
esomeprazole,0.0,389.0,0.0,0.0,0.0
silver sulfadiazine,0.0,43.0,0.0,0.0,0.0
guanfacine,0.0,59.0,0.0,0.0,0.0
