Drug,Recall_thresh,Precision_thresh,F2_thresh,Support
cetirizine,0.03498293515358362,0.0803921568627451,0.04875148632580262,1172.0
cyproheptadine,0.03225806451612903,0.029411764705882353,0.03076923076923077,31.0
nabumetone,0.030927835051546393,0.045454545454545456,0.03680981595092025,97.0
citalopram,0.0300187617260788,0.10774410774410774,0.04695524578136464,1066.0
metformin,0.022588435857366102,0.7162162162162162,0.043795620437956206,7039.0
furosemide,0.01839926402943882,0.31007751937984496,0.03473729917498915,2174.0
olmesartan,0.01652892561983471,0.004437049362174155,0.006996064713598601,484.0
meloxicam,0.015292553191489361,0.5609756097560976,0.02977346278317152,1504.0
minocycline,0.013513513513513514,0.002638522427440633,0.004415011037527594,74.0
betamethasone,0.013333333333333334,0.0034482758620689655,0.005479452054794521,75.0
tramadol,0.013169446883230905,0.16666666666666666,0.024410089503661515,1139.0
alprazolam,0.011092150170648464,0.06310679611650485,0.018867924528301886,1172.0
escitalopram,0.009337068160597572,0.08658008658008658,0.01685630004214075,2142.0
duloxetine,0.00718132854578097,0.010291595197255575,0.008459640465280225,1671.0
bupropion,0.005667181865018032,0.03618421052631579,0.009799554565701559,1941.0
isosorbide mononitrate,0.004629629629629629,0.0625,0.008620689655172414,432.0
sertraline,0.004598514326140785,0.1015625,0.008798646362098138,2827.0
spironolactone,0.003134796238244514,0.057692307692307696,0.005946481665014866,957.0
amitriptyline,0.0014367816091954023,0.007142857142857143,0.0023923444976076554,696.0
simvastatin,0.0004464285714285714,0.009174311926605505,0.0008514261387824606,2240.0
ranolazine,0.0,0.0,0.0,95.0
brimonidine,0.0,0.0,0.0,189.0
timolol,0.0,0.0,0.0,274.0
liraglutide,0.0,0.0,0.0,329.0
piroxicam,0.0,0.0,0.0,1.0
gentamicin,0.0,0.0,0.0,7.0
imiquimod,0.0,0.0,0.0,32.0
erythromycin,0.0,0.0,0.0,69.0
bimatoprost,0.0,0.0,0.0,156.0
trazodone,0.0,0.0,0.0,2199.0
triamcinolone,0.0,0.0,0.0,493.0
adapalene,0.0,0.0,0.0,9.0
latanoprost,0.0,0.0,0.0,926.0
permethrin,0.0,0.0,0.0,6.0
esomeprazole,0.0,0.0,0.0,389.0
diclofenac,0.0,0.0,0.0,1011.0
ipratropium,0.0,0.0,0.0,135.0
ampicillin,0.0,0.0,0.0,11.0
lisinopril,0.0,0.0,0.0,6735.0
desloratadine,0.0,0.0,0.0,22.0
silver sulfadiazine,0.0,0.0,0.0,43.0
azelastine,0.0,0.0,0.0,434.0
guanfacine,0.0,0.0,0.0,59.0
mometasone,0.0,0.0,0.0,22.0
olopatadine,0.0,0.0,0.0,124.0
omeprazole,0.0,0.0,0.0,4265.0
clopidogrel,0.0,0.0,0.0,1246.0
penicillin v potassium,0.0,0.0,0.0,86.0
hydrocodone,0.0,0.0,0.0,78.0
bisacodyl,0.0,0.0,0.0,19.0
cyclosporine,0.0,0.0,0.0,218.0
ivermectin,0.0,0.0,0.0,13.0
sulfamethoxazole,0.0,0.0,0.0,4.0
divalproex sodium,0.0,0.0,0.0,242.0
fluocinonide,0.0,0.0,0.0,69.0
oxymetazoline,0.0,0.0,0.0,22.0
